Source,Target,,,
1,38,1,0,0
1,20,1,0,0
25,26,1,0,0
8,10,1,0,0
12,18,1,0,0
13,15,1,0,0
17,18,1,0,0
18,23,1,0,0
19,21,1,0,0
59,77,1,0,0
59,76,1,0,0
59,68,1,0,0
59,60,1,0,0
65,66,1,0,0
24,7,1,0,0
24,25,1,0,0
10,11,1,0,0
44,45,1,0,0
37,39,1,0,0
41,42,1,0,0
42,49,1,0,0
42,36,1,0,0
58,76,1,0,0
43,35,1,0,0
43,44,1,0,0
78,79,1,0,0
60,62,1,0,0
64,65,1,0,0
68,70,1,0,0
72,75,1,0,0
76,84,1,0,0
76,58,1,0,0
77,59,1,0,0
77,78,1,0,0
85,86,1,0,0
88,90,1,0,0
70,71,1,0,0
62,63,1,0,0
39,40,1,0,0
21,22,1,0,0
15,16,1,0,0
9,10,1,0,0
11,12,1,0,0
14,15,1,0,0
52,53,1,0,0
2,3,1,0,0
30,31,1,0,0
16,17,1,0,0
20,21,1,0,0
22,23,1,0,0
38,39,1,0,0
40,41,1,0,0
61,62,1,0,0
63,64,1,0,0
69,70,1,0,0
71,72,1,0,0
89,90,1,0,0
90,91,1,0,0
91,92,1,0,0
57,75,1,0,0
57,65,1,0,0
75,83,1,0,0
75,57,1,0,0
83,85,1,0,0
7,24,1,0,0
7,19,1,0,0
7,13,1,0,0
7,8,1,0,0
36,42,1,0,0
84,88,1,0,0
49,92,1,0,0
49,85,1,0,0
35,43,1,0,0
35,37,1,0,0
0,4,0,1,0
0,29,0,1,0
4,6,0,1,0
6,6,0,1,0
6,27,0,1,0
27,29,0,1,0
29,32,0,1,0
29,48,0,1,0
32,34,0,1,0
34,34,0,1,0
34,46,0,1,0
46,48,0,1,0
48,51,0,1,0
51,54,0,1,0
51,82,0,1,0
54,56,0,1,0
56,67,0,1,0
56,74,0,1,0
67,74,0,1,0
74,56,0,1,0
74,80,0,1,0
80,82,0,1,0
82,87,0,1,0
82,94,0,1,0
87,94,0,1,0
1,0,0,0,1
2,0,0,0,1
3,0,0,0,1
5,4,0,0,1
7,6,0,0,1
8,6,0,0,1
9,6,0,0,1
10,6,0,0,1
11,6,0,0,1
12,6,0,0,1
13,6,0,0,1
14,6,0,0,1
15,6,0,0,1
16,6,0,0,1
17,6,0,0,1
18,6,0,0,1
19,6,0,0,1
20,6,0,0,1
21,6,0,0,1
22,6,0,0,1
23,6,0,0,1
24,6,0,0,1
25,6,0,0,1
26,6,0,0,1
28,27,0,0,1
30,29,0,0,1
31,29,0,0,1
33,32,0,0,1
35,34,0,0,1
36,34,0,0,1
37,34,0,0,1
38,34,0,0,1
39,34,0,0,1
40,34,0,0,1
41,34,0,0,1
42,34,0,0,1
43,34,0,0,1
44,34,0,0,1
45,34,0,0,1
47,46,0,0,1
49,48,0,0,1
50,48,0,0,1
52,51,0,0,1
53,51,0,0,1
55,54,0,0,1
57,56,0,0,1
58,56,0,0,1
59,56,0,0,1
60,56,0,0,1
61,56,0,0,1
62,56,0,0,1
63,56,0,0,1
64,56,0,0,1
65,56,0,0,1
66,56,0,0,1
68,67,0,0,1
69,67,0,0,1
70,67,0,0,1
71,67,0,0,1
72,67,0,0,1
73,67,0,0,1
75,74,0,0,1
76,74,0,0,1
77,74,0,0,1
78,74,0,0,1
79,74,0,0,1
81,80,0,0,1
83,82,0,0,1
84,82,0,0,1
85,82,0,0,1
86,82,0,0,1
88,87,0,0,1
89,87,0,0,1
90,87,0,0,1
91,87,0,0,1
92,87,0,0,1
93,87,0,0,1
95,94,0,0,1
