Source,Target,,,
137,185,1,0,0
137,182,1,0,0
265,313,1,0,0
265,310,1,0,0
57,64,1,0,0
57,9,1,0,0
9,57,1,0,0
9,54,1,0,0
208,236,1,0,0
208,229,1,0,0
208,209,1,0,0
123,124,1,0,0
109,110,1,0,0
72,122,1,0,0
72,81,1,0,0
73,121,1,0,0
73,118,1,0,0
434,435,1,0,0
399,428,1,0,0
399,421,1,0,0
399,401,1,0,0
393,442,1,0,0
393,401,1,0,0
356,358,1,0,0
59,60,1,0,0
45,46,1,0,0
17,18,1,0,0
17,21,1,0,0
17,28,1,0,0
336,363,1,0,0
335,364,1,0,0
335,357,1,0,0
335,337,1,0,0
18,19,1,0,0
79,107,1,0,0
21,23,1,0,0
25,36,1,0,0
192,500,1,0,0
58,8,1,0,0
58,59,1,0,0
30,31,1,0,0
29,31,1,0,0
33,36,1,0,0
37,38,1,0,0
38,39,1,0,0
427,434,1,0,0
427,400,1,0,0
44,16,1,0,0
44,45,1,0,0
23,24,1,0,0
51,52,1,0,0
54,57,1,0,0
315,316,1,0,0
301,302,1,0,0
273,274,1,0,0
273,277,1,0,0
273,284,1,0,0
274,275,1,0,0
121,128,1,0,0
121,73,1,0,0
277,279,1,0,0
284,286,1,0,0
281,292,1,0,0
64,499,1,0,0
286,287,1,0,0
285,287,1,0,0
342,343,1,0,0
289,292,1,0,0
293,294,1,0,0
294,295,1,0,0
81,82,1,0,0
81,85,1,0,0
81,92,1,0,0
242,243,1,0,0
292,294,1,0,0
82,83,1,0,0
235,242,1,0,0
235,207,1,0,0
85,87,1,0,0
89,100,1,0,0
94,95,1,0,0
93,95,1,0,0
97,100,1,0,0
101,102,1,0,0
102,103,1,0,0
108,80,1,0,0
108,109,1,0,0
115,116,1,0,0
118,121,1,0,0
122,72,1,0,0
122,123,1,0,0
187,188,1,0,0
173,174,1,0,0
145,146,1,0,0
145,149,1,0,0
145,156,1,0,0
328,378,1,0,0
328,337,1,0,0
228,230,1,0,0
146,147,1,0,0
185,192,1,0,0
185,137,1,0,0
149,151,1,0,0
153,164,1,0,0
128,499,1,0,0
207,235,1,0,0
158,159,1,0,0
157,159,1,0,0
161,164,1,0,0
165,166,1,0,0
166,167,1,0,0
172,144,1,0,0
172,173,1,0,0
179,180,1,0,0
182,185,1,0,0
186,136,1,0,0
186,187,1,0,0
251,252,1,0,0
237,238,1,0,0
209,210,1,0,0
209,213,1,0,0
209,220,1,0,0
210,211,1,0,0
213,215,1,0,0
217,228,1,0,0
222,223,1,0,0
221,223,1,0,0
278,279,1,0,0
225,228,1,0,0
229,230,1,0,0
230,231,1,0,0
236,208,1,0,0
236,237,1,0,0
243,244,1,0,0
246,249,1,0,0
250,200,1,0,0
250,251,1,0,0
300,272,1,0,0
300,301,1,0,0
307,308,1,0,0
310,313,1,0,0
314,264,1,0,0
314,315,1,0,0
379,380,1,0,0
365,366,1,0,0
337,338,1,0,0
