Source,Target,,,
77,107,1,0,0
77,94,1,0,0
77,81,1,0,0
6,210,1,0,0
6,200,1,0,0
6,7,1,0,0
64,144,1,0,0
64,142,1,0,0
64,140,1,0,0
64,131,1,0,0
64,129,1,0,0
64,127,1,0,0
64,101,1,0,0
64,99,1,0,0
64,97,1,0,0
64,161,1,0,0
64,88,1,0,0
64,86,1,0,0
64,84,1,0,0
64,69,1,0,0
64,65,1,0,0
80,113,1,0,0
63,143,1,0,0
63,140,1,0,0
63,130,1,0,0
63,127,1,0,0
63,121,1,0,0
63,79,1,0,0
62,142,1,0,0
62,141,1,0,0
62,129,1,0,0
62,128,1,0,0
62,120,1,0,0
62,78,1,0,0
211,212,1,0,0
158,61,1,0,0
7,9,1,0,0
11,12,1,0,0
12,14,1,0,0
16,37,1,0,0
16,32,1,0,0
16,27,1,0,0
16,55,1,0,0
16,22,1,0,0
16,17,1,0,0
17,18,1,0,0
22,23,1,0,0
114,115,1,0,0
27,28,1,0,0
130,154,1,0,0
133,134,1,0,0
132,134,1,0,0
136,137,1,0,0
137,153,1,0,0
32,33,1,0,0
127,128,1,0,0
128,155,1,0,0
129,130,1,0,0
37,38,1,0,0
54,55,1,0,0
55,61,1,0,0
162,163,1,0,0
65,66,1,0,0
66,67,1,0,0
69,70,1,0,0
81,82,1,0,0
84,85,1,0,0
85,112,1,0,0
86,87,1,0,0
87,111,1,0,0
90,91,1,0,0
89,91,1,0,0
93,94,1,0,0
94,110,1,0,0
97,98,1,0,0
98,112,1,0,0
99,100,1,0,0
100,111,1,0,0
110,119,1,0,0
110,77,1,0,0
103,104,1,0,0
102,104,1,0,0
106,107,1,0,0
107,110,1,0,0
50,53,1,0,0
113,80,1,0,0
113,114,1,0,0
124,125,1,0,0
140,141,1,0,0
141,155,1,0,0
142,143,1,0,0
143,154,1,0,0
119,158,1,0,0
146,147,1,0,0
145,147,1,0,0
149,150,1,0,0
150,153,1,0,0
47,50,1,0,0
161,64,1,0,0
161,162,1,0,0
61,150,1,0,0
61,137,1,0,0
61,124,1,0,0
61,119,1,0,0
61,77,1,0,0
169,171,1,0,0
173,174,1,0,0
174,181,1,0,0
175,177,1,0,0
183,184,1,0,0
179,180,1,0,0
180,181,1,0,0
181,196,1,0,0
199,209,1,0,0
182,184,1,0,0
189,190,1,0,0
186,187,1,0,0
187,194,1,0,0
188,190,1,0,0
201,202,1,0,0
192,193,1,0,0
193,194,1,0,0
194,195,1,0,0
195,196,1,0,0
112,120,1,0,0
112,78,1,0,0
196,199,1,0,0
153,158,1,0,0
200,202,1,0,0
206,207,1,0,0
204,205,1,0,0
205,207,1,0,0
44,47,1,0,0
210,6,1,0,0
210,211,1,0,0
134,135,1,0,0
104,105,1,0,0
91,92,1,0,0
14,15,1,0,0
9,10,1,0,0
72,73,1,0,0
8,9,1,0,0
10,11,1,0,0
56,57,1,0,0
13,14,1,0,0
15,16,1,0,0
88,90,1,0,0
92,93,1,0,0
101,103,1,0,0
105,106,1,0,0
131,133,1,0,0
135,136,1,0,0
144,146,1,0,0
147,148,1,0,0
148,149,1,0,0
170,171,1,0,0
171,172,1,0,0
172,173,1,0,0
176,177,1,0,0
177,178,1,0,0
178,179,1,0,0
184,185,1,0,0
185,186,1,0,0
190,191,1,0,0
191,192,1,0,0
202,203,1,0,0
203,204,1,0,0
207,208,1,0,0
208,209,1,0,0
160,168,1,0,0
160,63,1,0,0
168,193,1,0,0
168,180,1,0,0
78,99,1,0,0
78,98,1,0,0
78,86,1,0,0
78,85,1,0,0
120,159,1,0,0
159,167,1,0,0
159,62,1,0,0
167,187,1,0,0
167,174,1,0,0
53,188,1,0,0
53,182,1,0,0
53,175,1,0,0
53,169,1,0,0
53,54,1,0,0
79,100,1,0,0
79,97,1,0,0
79,87,1,0,0
79,84,1,0,0
111,121,1,0,0
111,79,1,0,0
121,160,1,0,0
154,160,1,0,0
155,159,1,0,0
1,2,1,0,0
0,3,0,1,0
0,215,0,1,0
3,5,0,1,0
5,19,0,1,0
5,21,0,1,0
19,198,0,1,0
21,24,0,1,0
21,26,0,1,0
24,52,0,1,0
26,29,0,1,0
26,31,0,1,0
29,49,0,1,0
31,34,0,1,0
31,36,0,1,0
34,46,0,1,0
36,39,0,1,0
36,41,0,1,0
39,43,0,1,0
41,43,0,1,0
43,46,0,1,0
46,49,0,1,0
49,52,0,1,0
52,58,0,1,0
52,166,0,1,0
58,60,0,1,0
60,68,0,1,0
60,123,0,1,0
68,71,0,1,0
68,123,0,1,0
71,74,0,1,0
