Source,Target,,,
39,40,1,0,0
14,16,1,0,0
18,19,1,0,0
19,26,1,0,0
20,22,1,0,0
24,25,1,0,0
63,64,1,0,0
25,26,1,0,0
26,27,1,0,0
29,32,1,0,0
33,35,1,0,0
38,12,1,0,0
38,39,1,0,0
16,17,1,0,0
88,89,1,0,0
51,53,1,0,0
55,56,1,0,0
56,63,1,0,0
57,59,1,0,0
61,62,1,0,0
62,63,1,0,0
66,69,1,0,0
70,71,1,0,0
78,80,1,0,0
75,76,1,0,0
76,77,1,0,0
80,81,1,0,0
79,81,1,0,0
83,86,1,0,0
13,32,1,0,0
13,29,1,0,0
13,14,1,0,0
87,49,1,0,0
87,88,1,0,0
81,82,1,0,0
59,60,1,0,0
53,54,1,0,0
35,36,1,0,0
22,23,1,0,0
1,2,1,0,0
2,3,1,0,0
4,5,1,0,0
5,6,1,0,0
7,8,1,0,0
15,16,1,0,0
17,18,1,0,0
21,22,1,0,0
23,24,1,0,0
34,35,1,0,0
36,37,1,0,0
52,53,1,0,0
54,55,1,0,0
58,59,1,0,0
60,61,1,0,0
73,74,1,0,0
74,75,1,0,0
74,77,1,0,0
82,83,1,0,0
49,87,1,0,0
49,57,1,0,0
50,69,1,0,0
50,66,1,0,0
50,51,1,0,0
69,86,1,0,0
69,78,1,0,0
69,70,1,0,0
86,50,1,0,0
32,13,1,0,0
32,37,1,0,0
12,38,1,0,0
12,33,1,0,0
12,20,1,0,0
44,45,1,0,0
0,9,0,1,0
0,43,0,1,0
9,11,0,1,0
11,28,0,1,0
11,31,0,1,0
28,31,0,1,0
31,11,0,1,0
31,41,0,1,0
41,43,0,1,0
43,46,0,1,0
43,92,0,1,0
46,48,0,1,0
48,65,0,1,0
48,68,0,1,0
65,68,0,1,0
68,72,0,1,0
68,85,0,1,0
72,85,0,1,0
85,48,0,1,0
85,90,0,1,0
90,92,0,1,0
1,0,0,0,1
2,0,0,0,1
3,0,0,0,1
4,0,0,0,1
5,0,0,0,1
6,0,0,0,1
7,0,0,0,1
8,0,0,0,1
10,9,0,0,1
12,11,0,0,1
13,11,0,0,1
14,11,0,0,1
15,11,0,0,1
16,11,0,0,1
17,11,0,0,1
18,11,0,0,1
19,11,0,0,1
20,11,0,0,1
21,11,0,0,1
22,11,0,0,1
23,11,0,0,1
24,11,0,0,1
25,11,0,0,1
26,11,0,0,1
27,11,0,0,1
29,28,0,0,1
30,28,0,0,1
32,31,0,0,1
33,31,0,0,1
34,31,0,0,1
35,31,0,0,1
36,31,0,0,1
37,31,0,0,1
38,31,0,0,1
39,31,0,0,1
40,31,0,0,1
42,41,0,0,1
44,43,0,0,1
45,43,0,0,1
47,46,0,0,1
49,48,0,0,1
50,48,0,0,1
51,48,0,0,1
52,48,0,0,1
53,48,0,0,1
54,48,0,0,1
55,48,0,0,1
56,48,0,0,1
57,48,0,0,1
58,48,0,0,1
59,48,0,0,1
60,48,0,0,1
61,48,0,0,1
62,48,0,0,1
63,48,0,0,1
64,48,0,0,1
66,65,0,0,1
67,65,0,0,1
69,68,0,0,1
70,68,0,0,1
71,68,0,0,1
73,72,0,0,1
74,72,0,0,1
75,72,0,0,1
76,72,0,0,1
77,72,0,0,1
78,72,0,0,1
79,72,0,0,1
80,72,0,0,1
81,72,0,0,1
82,72,0,0,1
83,72,0,0,1
84,72,0,0,1
86,85,0,0,1
87,85,0,0,1
88,85,0,0,1
89,85,0,0,1
91,90,0,0,1
93,92,0,0,1
