Source,Target,,,
97,104,1,0,0
97,70,1,0,0
84,85,1,0,0
49,56,1,0,0
49,14,1,0,0
32,33,1,0,0
110,138,1,0,0
110,125,1,0,0
110,117,1,0,0
69,98,1,0,0
69,92,1,0,0
69,87,1,0,0
69,77,1,0,0
69,71,1,0,0
58,59,1,0,0
51,52,1,0,0
15,16,1,0,0
16,17,1,0,0
17,19,1,0,0
21,22,1,0,0
22,31,1,0,0
388,395,1,0,0
388,339,1,0,0
23,24,1,0,0
42,43,1,0,0
24,25,1,0,0
25,27,1,0,0
29,30,1,0,0
30,32,1,0,0
151,152,1,0,0
162,163,1,0,0
31,32,1,0,0
33,34,1,0,0
339,388,1,0,0
339,346,1,0,0
132,116,1,0,0
132,133,1,0,0
442,470,1,0,0
442,457,1,0,0
442,449,1,0,0
138,110,1,0,0
138,139,1,0,0
35,36,1,0,0
36,37,1,0,0
37,39,1,0,0
41,49,1,0,0
395,456,1,0,0
43,44,1,0,0
44,46,1,0,0
48,49,1,0,0
14,49,1,0,0
346,381,1,0,0
50,13,1,0,0
50,51,1,0,0
235,264,1,0,0
235,258,1,0,0
235,253,1,0,0
235,243,1,0,0
235,237,1,0,0
276,304,1,0,0
276,291,1,0,0
276,283,1,0,0
57,6,1,0,0
57,58,1,0,0
99,100,1,0,0
71,73,1,0,0
75,76,1,0,0
76,83,1,0,0
77,79,1,0,0
81,82,1,0,0
82,84,1,0,0
83,84,1,0,0
85,86,1,0,0
87,89,1,0,0
91,97,1,0,0
92,94,1,0,0
120,121,1,0,0
96,97,1,0,0
98,69,1,0,0
98,99,1,0,0
139,140,1,0,0
133,134,1,0,0
117,118,1,0,0
118,119,1,0,0
119,121,1,0,0
128,129,1,0,0
123,124,1,0,0
124,131,1,0,0
13,50,1,0,0
13,43,1,0,0
13,36,1,0,0
13,24,1,0,0
13,16,1,0,0
125,126,1,0,0
126,127,1,0,0
127,129,1,0,0
327,315,1,0,0
327,328,1,0,0
390,391,1,0,0
383,384,1,0,0
347,348,1,0,0
348,349,1,0,0
349,351,1,0,0
358,359,1,0,0
353,354,1,0,0
354,363,1,0,0
355,356,1,0,0
356,357,1,0,0
357,359,1,0,0
370,371,1,0,0
361,362,1,0,0
362,364,1,0,0
363,364,1,0,0
