Source,Target,,,
3,4,1,0,0
27,34,1,0,0
27,49,1,0,0
27,58,1,0,0
11,12,1,0,0
12,13,1,0,0
8,18,1,0,0
13,14,1,0,0
14,15,1,0,0
15,16,1,0,0
19,20,1,0,0
22,46,1,0,0
22,31,1,0,0
29,30,1,0,0
30,31,1,0,0
31,32,1,0,0
32,33,1,0,0
33,40,1,0,0
35,36,1,0,0
36,37,1,0,0
37,38,1,0,0
38,39,1,0,0
39,40,1,0,0
40,41,1,0,0
44,45,1,0,0
45,46,1,0,0
46,47,1,0,0
47,48,1,0,0
48,56,1,0,0
51,52,1,0,0
52,53,1,0,0
53,54,1,0,0
54,55,1,0,0
55,56,1,0,0
56,57,1,0,0
61,62,1,0,0
68,206,1,0,0
68,202,1,0,0
68,198,1,0,0
68,69,1,0,0
69,70,1,0,0
70,194,1,0,0
70,190,1,0,0
70,186,1,0,0
70,182,1,0,0
70,178,1,0,0
70,174,1,0,0
70,170,1,0,0
70,166,1,0,0
70,162,1,0,0
70,158,1,0,0
70,154,1,0,0
70,150,1,0,0
70,146,1,0,0
70,142,1,0,0
70,138,1,0,0
70,134,1,0,0
70,130,1,0,0
70,126,1,0,0
70,122,1,0,0
70,118,1,0,0
70,114,1,0,0
70,110,1,0,0
70,106,1,0,0
70,102,1,0,0
70,98,1,0,0
70,94,1,0,0
70,90,1,0,0
70,86,1,0,0
70,82,1,0,0
70,78,1,0,0
70,74,1,0,0
83,84,1,0,0
87,88,1,0,0
91,92,1,0,0
95,96,1,0,0
99,100,1,0,0
103,104,1,0,0
107,108,1,0,0
111,112,1,0,0
115,116,1,0,0
119,120,1,0,0
123,124,1,0,0
127,128,1,0,0
131,132,1,0,0
135,136,1,0,0
139,140,1,0,0
143,144,1,0,0
147,148,1,0,0
151,152,1,0,0
155,156,1,0,0
159,160,1,0,0
163,164,1,0,0
167,168,1,0,0
171,172,1,0,0
175,176,1,0,0
179,180,1,0,0
183,184,1,0,0
187,188,1,0,0
191,192,1,0,0
195,196,1,0,0
199,200,1,0,0
203,204,1,0,0
1,26,1,0,0
18,19,1,0,0
18,8,1,0,0
2,27,1,0,0
2,9,1,0,0
10,11,1,0,0
10,16,1,0,0
28,29,1,0,0
34,35,1,0,0
34,41,1,0,0
43,44,1,0,0
50,51,1,0,0
50,57,1,0,0
71,72,1,0,0
72,73,1,0,0
73,74,1,0,0
75,76,1,0,0
76,77,1,0,0
77,78,1,0,0
79,80,1,0,0
80,81,1,0,0
81,82,1,0,0
84,85,1,0,0
85,86,1,0,0
88,89,1,0,0
89,90,1,0,0
92,93,1,0,0
93,94,1,0,0
96,97,1,0,0
97,98,1,0,0
100,101,1,0,0
101,102,1,0,0
104,105,1,0,0
105,106,1,0,0
108,109,1,0,0
109,110,1,0,0
112,113,1,0,0
113,114,1,0,0
116,117,1,0,0
117,118,1,0,0
120,121,1,0,0
121,122,1,0,0
124,125,1,0,0
125,126,1,0,0
128,129,1,0,0
129,130,1,0,0
132,133,1,0,0
133,134,1,0,0
136,137,1,0,0
137,138,1,0,0
140,141,1,0,0
141,142,1,0,0
144,145,1,0,0
145,146,1,0,0
148,149,1,0,0
149,150,1,0,0
152,153,1,0,0
153,154,1,0,0
156,157,1,0,0
157,158,1,0,0
160,161,1,0,0
161,162,1,0,0
164,165,1,0,0
165,166,1,0,0
168,169,1,0,0
169,170,1,0,0
172,173,1,0,0
173,174,1,0,0
176,177,1,0,0
177,178,1,0,0
180,181,1,0,0
181,182,1,0,0
184,185,1,0,0
185,186,1,0,0
188,189,1,0,0
189,190,1,0,0
192,193,1,0,0
193,194,1,0,0
196,197,1,0,0
197,198,1,0,0
200,201,1,0,0
201,202,1,0,0
204,205,1,0,0
205,206,1,0,0
59,26,1,0,0
42,43,1,0,0
26,28,1,0,0
26,42,1,0,0
26,59,1,0,0
25,60,1,0,0
9,10,1,0,0
9,17,1,0,0
58,27,1,0,0
49,50,1,0,0
60,61,1,0,0
60,25,1,0,0
17,9,1,0,0
0,5,0,1,0
0,21,0,1,0
5,7,0,1,0
7,63,0,1,0
7,7,0,1,0
21,24,0,1,0
24,65,0,1,0
24,24,0,1,0
63,67,0,1,0
65,67,0,1,0
1,0,0,0,1
2,0,0,0,1
3,0,0,0,1
4,0,0,0,1
6,5,0,0,1
8,7,0,0,1
9,7,0,0,1
10,7,0,0,1
11,7,0,0,1
12,7,0,0,1
13,7,0,0,1
14,7,0,0,1
15,7,0,0,1
16,7,0,0,1
17,7,0,0,1
18,7,0,0,1
19,7,0,0,1
20,7,0,0,1
22,21,0,0,1
23,21,0,0,1
25,24,0,0,1
26,24,0,0,1
27,24,0,0,1
28,24,0,0,1
29,24,0,0,1
30,24,0,0,1
31,24,0,0,1
32,24,0,0,1
33,24,0,0,1
34,24,0,0,1
35,24,0,0,1
36,24,0,0,1
37,24,0,0,1
38,24,0,0,1
39,24,0,0,1
40,24,0,0,1
41,24,0,0,1
42,24,0,0,1
43,24,0,0,1
44,24,0,0,1
45,24,0,0,1
46,24,0,0,1
47,24,0,0,1
48,24,0,0,1
49,24,0,0,1
50,24,0,0,1
51,24,0,0,1
52,24,0,0,1
53,24,0,0,1
54,24,0,0,1
55,24,0,0,1
56,24,0,0,1
57,24,0,0,1
58,24,0,0,1
59,24,0,0,1
60,24,0,0,1
61,24,0,0,1
62,24,0,0,1
64,63,0,0,1
66,65,0,0,1
68,67,0,0,1
69,67,0,0,1
70,67,0,0,1
71,67,0,0,1
72,67,0,0,1
73,67,0,0,1
74,67,0,0,1
75,67,0,0,1
76,67,0,0,1
77,67,0,0,1
78,67,0,0,1
79,67,0,0,1
80,67,0,0,1
81,67,0,0,1
82,67,0,0,1
83,67,0,0,1
84,67,0,0,1
85,67,0,0,1
86,67,0,0,1
87,67,0,0,1
88,67,0,0,1
89,67,0,0,1
90,67,0,0,1
91,67,0,0,1
92,67,0,0,1
93,67,0,0,1
94,67,0,0,1
95,67,0,0,1
96,67,0,0,1
97,67,0,0,1
98,67,0,0,1
99,67,0,0,1
100,67,0,0,1
101,67,0,0,1
102,67,0,0,1
103,67,0,0,1
104,67,0,0,1
105,67,0,0,1
106,67,0,0,1
107,67,0,0,1
108,67,0,0,1
109,67,0,0,1
110,67,0,0,1
111,67,0,0,1
112,67,0,0,1
113,67,0,0,1
114,67,0,0,1
115,67,0,0,1
116,67,0,0,1
117,67,0,0,1
118,67,0,0,1
119,67,0,0,1
120,67,0,0,1
121,67,0,0,1
122,67,0,0,1
123,67,0,0,1
124,67,0,0,1
125,67,0,0,1
126,67,0,0,1
127,67,0,0,1
128,67,0,0,1
129,67,0,0,1
130,67,0,0,1
131,67,0,0,1
132,67,0,0,1
133,67,0,0,1
134,67,0,0,1
135,67,0,0,1
136,67,0,0,1
137,67,0,0,1
138,67,0,0,1
139,67,0,0,1
140,67,0,0,1
141,67,0,0,1
142,67,0,0,1
143,67,0,0,1
144,67,0,0,1
145,67,0,0,1
146,67,0,0,1
147,67,0,0,1
148,67,0,0,1
149,67,0,0,1
150,67,0,0,1
151,67,0,0,1
152,67,0,0,1
153,67,0,0,1
154,67,0,0,1
155,67,0,0,1
156,67,0,0,1
157,67,0,0,1
158,67,0,0,1
159,67,0,0,1
160,67,0,0,1
161,67,0,0,1
162,67,0,0,1
163,67,0,0,1
164,67,0,0,1
165,67,0,0,1
166,67,0,0,1
167,67,0,0,1
168,67,0,0,1
169,67,0,0,1
170,67,0,0,1
171,67,0,0,1
172,67,0,0,1
173,67,0,0,1
174,67,0,0,1
175,67,0,0,1
176,67,0,0,1
177,67,0,0,1
178,67,0,0,1
179,67,0,0,1
180,67,0,0,1
181,67,0,0,1
182,67,0,0,1
183,67,0,0,1
184,67,0,0,1
185,67,0,0,1
186,67,0,0,1
187,67,0,0,1
188,67,0,0,1
189,67,0,0,1
190,67,0,0,1
191,67,0,0,1
192,67,0,0,1
193,67,0,0,1
194,67,0,0,1
195,67,0,0,1
196,67,0,0,1
197,67,0,0,1
198,67,0,0,1
199,67,0,0,1
200,67,0,0,1
201,67,0,0,1
202,67,0,0,1
203,67,0,0,1
204,67,0,0,1
205,67,0,0,1
206,67,0,0,1
207,67,0,0,1
208,67,0,0,1
