Source,Target,,,
40,102,1,0,0
40,58,1,0,0
58,40,1,0,0
102,103,1,0,0
31,39,1,0,0
47,48,1,0,0
45,53,1,0,0
45,46,1,0,0
46,48,1,0,0
53,63,1,0,0
53,45,1,0,0
63,64,1,0,0
9,10,1,0,0
66,67,1,0,0
66,70,1,0,0
66,78,1,0,0
66,86,1,0,0
66,94,1,0,0
66,102,1,0,0
66,110,1,0,0
66,118,1,0,0
66,126,1,0,0
66,134,1,0,0
66,77,1,0,0
12,13,1,0,0
72,75,1,0,0
73,74,1,0,0
74,75,1,0,0
75,84,1,0,0
75,76,1,0,0
77,142,1,0,0
77,66,1,0,0
80,83,1,0,0
81,82,1,0,0
82,83,1,0,0
83,84,1,0,0
84,92,1,0,0
84,85,1,0,0
88,91,1,0,0
89,90,1,0,0
122,123,1,0,0
90,91,1,0,0
91,92,1,0,0
92,100,1,0,0
92,93,1,0,0
96,99,1,0,0
97,98,1,0,0
98,99,1,0,0
99,100,1,0,0
100,108,1,0,0
100,101,1,0,0
104,107,1,0,0
105,106,1,0,0
106,107,1,0,0
107,108,1,0,0
108,116,1,0,0
108,109,1,0,0
112,115,1,0,0
113,114,1,0,0
114,115,1,0,0
115,116,1,0,0
116,124,1,0,0
116,117,1,0,0
120,123,1,0,0
121,122,1,0,0
123,124,1,0,0
124,132,1,0,0
124,125,1,0,0
128,131,1,0,0
129,130,1,0,0
130,131,1,0,0
131,132,1,0,0
132,140,1,0,0
132,133,1,0,0
136,139,1,0,0
137,138,1,0,0
138,139,1,0,0
139,140,1,0,0
140,141,1,0,0
142,143,1,0,0
18,19,1,0,0
15,16,1,0,0
3,4,1,0,0
6,7,1,0,0
2,3,1,0,0
4,73,1,0,0
5,6,1,0,0
7,81,1,0,0
8,9,1,0,0
10,89,1,0,0
11,12,1,0,0
13,97,1,0,0
14,15,1,0,0
16,105,1,0,0
17,18,1,0,0
19,113,1,0,0
20,21,1,0,0
21,22,1,0,0
22,121,1,0,0
23,24,1,0,0
24,25,1,0,0
25,129,1,0,0
48,67,1,0,0
68,69,1,0,0
68,76,1,0,0
68,85,1,0,0
68,93,1,0,0
68,101,1,0,0
68,109,1,0,0
68,117,1,0,0
68,125,1,0,0
68,133,1,0,0
68,141,1,0,0
71,72,1,0,0
79,80,1,0,0
87,88,1,0,0
95,96,1,0,0
103,104,1,0,0
111,112,1,0,0
119,120,1,0,0
127,128,1,0,0
135,136,1,0,0
42,118,1,0,0
42,56,1,0,0
56,42,1,0,0
118,119,1,0,0
29,41,1,0,0
44,134,1,0,0
44,54,1,0,0
26,44,1,0,0
37,78,1,0,0
37,61,1,0,0
38,86,1,0,0
