Source,Target,,,
9,10,1,0,0
5,6,1,0,0
6,8,1,0,0
7,39,1,0,0
8,28,1,0,0
8,21,1,0,0
34,35,1,0,0
38,212,1,0,0
38,190,1,0,0
38,176,1,0,0
38,167,1,0,0
38,158,1,0,0
38,149,1,0,0
38,140,1,0,0
38,131,1,0,0
38,122,1,0,0
38,113,1,0,0
43,46,1,0,0
49,52,1,0,0
55,58,1,0,0
61,64,1,0,0
67,70,1,0,0
73,76,1,0,0
79,82,1,0,0
85,88,1,0,0
89,90,1,0,0
90,91,1,0,0
91,92,1,0,0
95,98,1,0,0
98,101,1,0,0
103,104,1,0,0
104,105,1,0,0
112,115,1,0,0
109,219,1,0,0
117,120,1,0,0
121,124,1,0,0
125,126,1,0,0
126,129,1,0,0
130,133,1,0,0
134,135,1,0,0
135,138,1,0,0
139,142,1,0,0
143,144,1,0,0
144,147,1,0,0
148,151,1,0,0
152,153,1,0,0
153,156,1,0,0
157,160,1,0,0
161,162,1,0,0
162,165,1,0,0
166,169,1,0,0
170,171,1,0,0
171,174,1,0,0
175,178,1,0,0
179,180,1,0,0
180,183,1,0,0
184,185,1,0,0
185,186,1,0,0
186,187,1,0,0
193,202,1,0,0
202,205,1,0,0
211,214,1,0,0
207,208,1,0,0
208,209,1,0,0
216,219,1,0,0
219,222,1,0,0
229,230,1,0,0
10,27,1,0,0
33,196,1,0,0
42,43,1,0,0
45,46,1,0,0
4,20,1,0,0
4,19,1,0,0
4,18,1,0,0
4,17,1,0,0
4,16,1,0,0
4,15,1,0,0
4,14,1,0,0
4,13,1,0,0
4,12,1,0,0
4,11,1,0,0
48,49,1,0,0
51,52,1,0,0
54,55,1,0,0
57,58,1,0,0
60,61,1,0,0
63,64,1,0,0
66,67,1,0,0
69,70,1,0,0
72,73,1,0,0
75,76,1,0,0
78,79,1,0,0
81,82,1,0,0
84,85,1,0,0
87,88,1,0,0
94,95,1,0,0
100,101,1,0,0
102,103,1,0,0
108,109,1,0,0
113,114,1,0,0
114,115,1,0,0
115,116,1,0,0
116,117,1,0,0
119,120,1,0,0
122,123,1,0,0
123,124,1,0,0
124,125,1,0,0
128,129,1,0,0
131,132,1,0,0
132,133,1,0,0
133,134,1,0,0
137,138,1,0,0
140,141,1,0,0
141,142,1,0,0
142,143,1,0,0
146,147,1,0,0
149,150,1,0,0
150,151,1,0,0
151,152,1,0,0
155,156,1,0,0
158,159,1,0,0
159,160,1,0,0
160,161,1,0,0
164,165,1,0,0
167,168,1,0,0
168,169,1,0,0
169,170,1,0,0
173,174,1,0,0
176,177,1,0,0
177,178,1,0,0
178,179,1,0,0
182,183,1,0,0
189,191,1,0,0
190,191,1,0,0
191,192,1,0,0
192,193,1,0,0
198,199,1,0,0
204,205,1,0,0
206,207,1,0,0
212,213,1,0,0
213,214,1,0,0
214,215,1,0,0
215,216,1,0,0
221,222,1,0,0
31,102,1,0,0
31,206,1,0,0
31,224,1,0,0
27,33,1,0,0
27,228,1,0,0
228,27,1,0,0
11,220,1,0,0
44,45,1,0,0
107,108,1,0,0
83,84,1,0,0
77,78,1,0,0
71,72,1,0,0
13,86,1,0,0
13,181,1,0,0
181,182,1,0,0
86,87,1,0,0
14,80,1,0,0
14,172,1,0,0
172,173,1,0,0
80,81,1,0,0
1,22,1,0,0
21,22,1,0,0
22,29,1,0,0
15,74,1,0,0
15,163,1,0,0
163,164,1,0,0
74,75,1,0,0
16,68,1,0,0
16,154,1,0,0
154,155,1,0,0
68,69,1,0,0
17,62,1,0,0
17,145,1,0,0
28,34,1,0,0
28,37,1,0,0
28,227,1,0,0
225,30,1,0,0
226,29,1,0,0
29,41,1,0,0
29,47,1,0,0
29,53,1,0,0
29,59,1,0,0
29,65,1,0,0
29,71,1,0,0
29,77,1,0,0
29,83,1,0,0
29,94,1,0,0
29,107,1,0,0
29,226,1,0,0
145,146,1,0,0
62,63,1,0,0
18,56,1,0,0
18,136,1,0,0
223,229,1,0,0
223,32,1,0,0
220,221,1,0,0
3,31,1,0,0
65,66,1,0,0
59,60,1,0,0
53,54,1,0,0
47,48,1,0,0
41,42,1,0,0
2,30,1,0,0
32,44,1,0,0
32,118,1,0,0
32,50,1,0,0
32,127,1,0,0
32,56,1,0,0
32,136,1,0,0
32,62,1,0,0
32,145,1,0,0
32,68,1,0,0
32,154,1,0,0
32,74,1,0,0
32,163,1,0,0
32,80,1,0,0
32,172,1,0,0
32,86,1,0,0
32,181,1,0,0
32,99,1,0,0
32,197,1,0,0
32,203,1,0,0
32,220,1,0,0
32,223,1,0,0
136,137,1,0,0
56,57,1,0,0
19,50,1,0,0
19,127,1,0,0
127,128,1,0,0
50,51,1,0,0
20,44,1,0,0
20,118,1,0,0
118,119,1,0,0
224,31,1,0,0
12,99,1,0,0
12,197,1,0,0
12,203,1,0,0
203,204,1,0,0
197,198,1,0,0
99,100,1,0,0
30,89,1,0,0
30,184,1,0,0
30,225,1,0,0
227,28,1,0,0
37,38,1,0,0
0,26,0,1,0
26,40,0,1,0
26,36,0,1,0
36,195,0,1,0
36,111,0,1,0
40,93,0,1,0
40,97,0,1,0
93,97,0,1,0
97,106,0,1,0
97,218,0,1,0
106,218,0,1,0
111,188,0,1,0
111,201,0,1,0
188,201,0,1,0
195,218,0,1,0
201,210,0,1,0
201,218,0,1,0
210,218,0,1,0
218,24,0,1,0
218,26,0,1,0
1,0,0,0,1
2,0,0,0,1
3,0,0,0,1
4,0,0,0,1
5,0,0,0,1
6,0,0,0,1
7,0,0,0,1
8,0,0,0,1
9,0,0,0,1
10,0,0,0,1
11,0,0,0,1
12,0,0,0,1
13,0,0,0,1
14,0,0,0,1
15,0,0,0,1
16,0,0,0,1
17,0,0,0,1
18,0,0,0,1
19,0,0,0,1
20,0,0,0,1
21,0,0,0,1
