Source,Target,,,
4,5,1,0,0
1,149,1,0,0
1,144,1,0,0
1,138,1,0,0
1,133,1,0,0
1,127,1,0,0
1,122,1,0,0
1,116,1,0,0
1,111,1,0,0
1,105,1,0,0
1,100,1,0,0
1,94,1,0,0
1,89,1,0,0
1,83,1,0,0
1,78,1,0,0
1,72,1,0,0
1,67,1,0,0
1,60,1,0,0
1,54,1,0,0
1,47,1,0,0
1,40,1,0,0
1,155,1,0,0
1,64,1,0,0
1,3,1,0,0
1,2,1,0,0
48,49,1,0,0
15,159,1,0,0
15,28,1,0,0
16,172,1,0,0
16,162,1,0,0
16,159,1,0,0
16,25,1,0,0
17,175,1,0,0
17,167,1,0,0
17,164,1,0,0
17,24,1,0,0
18,158,1,0,0
19,171,1,0,0
19,163,1,0,0
19,158,1,0,0
20,176,1,0,0
20,168,1,0,0
20,165,1,0,0
21,240,1,0,0
21,234,1,0,0
21,229,1,0,0
21,207,1,0,0
21,201,1,0,0
21,196,1,0,0
21,174,1,0,0
21,168,1,0,0
21,163,1,0,0
23,173,1,0,0
23,167,1,0,0
23,162,1,0,0
23,28,1,0,0
23,25,1,0,0
23,24,1,0,0
24,166,1,0,0
24,160,1,0,0
24,29,1,0,0
24,27,1,0,0
25,30,1,0,0
25,26,1,0,0
26,27,1,0,0
27,31,1,0,0
28,29,1,0,0
29,30,1,0,0
30,166,1,0,0
30,160,1,0,0
30,33,1,0,0
30,31,1,0,0
31,161,1,0,0
31,32,1,0,0
32,159,1,0,0
32,158,1,0,0
32,33,1,0,0
33,34,1,0,0
39,41,1,0,0
43,44,1,0,0
44,45,1,0,0
46,48,1,0,0
50,51,1,0,0
51,52,1,0,0
53,55,1,0,0
57,58,1,0,0
58,59,1,0,0
63,65,1,0,0
109,110,1,0,0
64,65,1,0,0
65,71,1,0,0
65,66,1,0,0
66,77,1,0,0
167,175,1,0,0
168,176,1,0,0
172,205,1,0,0
172,195,1,0,0
172,192,1,0,0
172,180,1,0,0
204,237,1,0,0
204,229,1,0,0
204,224,1,0,0
173,192,1,0,0
173,183,1,0,0
174,191,1,0,0
175,208,1,0,0
175,200,1,0,0
175,197,1,0,0
175,179,1,0,0
176,209,1,0,0
176,201,1,0,0
176,198,1,0,0
70,76,1,0,0
71,73,1,0,0
75,76,1,0,0
